Player.Name,Salary,Position,Age,Team,GP,MP,FGA,FG.,TRB,AST,PTS,Total.Minutes,PER,TS.,FTr,TRB.,AST.,USG.,WS,OBPM,DBPM,BPM,VORP
Bruce Brown,6479000,SF,26,DEN,80,28.5,9.3,0.483,4.1,3.4,11.5,2280,13.3,0.571,0.206,8.3,15.7,17.8,4.3,-1.1,0.6,-0.5,0.9
Caleb Martin,6479000,SF,27,MIA,71,29.3,7.7,0.464,4.8,1.6,9.6,2077,11.4,0.571,0.206,9.7,8.2,14.4,3.7,-1.8,0.5,-1.2,0.4
Joe Ingles,6479000,SF,35,MIL,46,22.7,5.4,0.435,2.8,3.3,6.9,1044,10.7,0.616,0.085,6.4,18.4,12.6,2.3,-1.6,0.8,-0.7,0.3
Onyeka Okongwu,6395160,C,22,ATL,80,23.1,6.2,0.638,7.2,1,9.9,1849,19.4,0.678,0.394,17,5.8,15.1,7.1,0,0.8,0.8,1.3
Josh Giddey,6287400,PF,20,OKC,76,31.1,14.7,0.482,7.9,6.2,16.6,2367,17.1,0.533,0.13,13.6,29.9,24.6,4,1.5,-0.3,1.2,1.9
Rui Hachimura,6263188,PF,24,LAL/WAS,63,23.3,9.3,0.486,4.5,0.9,11.2,1466,13.2,0.556,0.204,10.5,5.8,20.2,1.8,-1.3,-1,-2.2,-0.1
Rudy Gay,6184500,PF,36,UTA,56,14.6,5.1,0.38,2.9,1,5.2,816,9,0.475,0.171,10.8,9.4,17.7,0.3,-3.6,-0.4,-4,-0.4
Jevon Carter,6025000,PG,27,MIL,81,22.3,7,0.423,2.5,2.4,8,1810,10.9,0.56,0.067,5.8,14.5,15.3,3.5,-1.9,1.2,-0.6,0.6
Shaedon Sharpe,6012960,SG,19,POR,80,22.2,8.1,0.472,3,1.2,9.9,1779,11.5,0.568,0.162,7.6,7.9,19,1.2,-1.3,-2,-3.3,-0.6
Cameron Payne,6000000,PG,28,PHO,48,20.2,9.4,0.415,2.2,4.5,10.3,968,13.2,0.512,0.141,6.1,32.6,24.8,1.1,-0.5,-0.7,-1.2,0.2
Justin Holiday,5987975,SF,33,DAL/ATL,46,15.3,4.4,0.377,1.2,0.9,4.5,706,6.6,0.494,0.039,4.4,7.5,14.1,0.1,-3.7,-0.1,-3.9,-0.3
Cam Reddish,5954454,SF,23,NYK/POR,40,24.8,7.8,0.446,2.2,1.4,9.7,990,10.6,0.561,0.24,5,8.1,17.1,0.9,-2.6,-0.8,-3.4,-0.4
Cameron Johnson,5887899,PF,26,BRK/PHO,42,28.5,11.3,0.47,4.4,1.9,15.5,1199,17.1,0.617,0.253,8.6,9.6,20.6,3.5,2,0.6,2.6,1.4
Ricky Rubio,5853659,PG,32,CLE,33,17.2,5.4,0.343,2.1,3.5,5.2,566,10.4,0.442,0.197,7.3,27.1,17.7,0.7,-3.8,1.1,-2.8,-0.1
Killian Hayes,5837760,PG,21,DET,76,28.3,10.7,0.377,2.9,6.2,10.3,2154,10.2,0.455,0.137,5.7,32.3,20.5,-0.5,-3.3,-0.5,-3.8,-1
Jonathan Kuminga,5739840,PF,20,GSW,67,20.8,7.4,0.525,3.4,1.9,9.9,1394,13.3,0.597,0.278,9.1,12.7,19.6,2.4,-1.7,-0.1,-1.7,0.1
