Player.Name,Salary,Position,Age,Team,GP,MP,FGA,FG.,TRB,AST,PTS,Total.Minutes,PER,TS.,FTr,TRB.,AST.,USG.,WS,OBPM,DBPM,BPM,VORP
Keon Johnson,2681040,SG,20,POR,40,10.4,4.5,0.376,1.1,1.5,4.7,416,9,0.482,0.23,6.1,20.9,25,-0.5,-3.8,-1.6,-5.4,-0.4
Charles Bassey,2674742,C,22,SAS,35,14.5,3.9,0.644,5.5,1.3,5.7,508,18.8,0.658,0.274,20.7,12.9,15.6,1.3,-0.7,1.3,0.6,0.3
Matthew Dellavedova,2628597,PG,32,SAC,32,6.7,1.6,0.34,0.4,1.3,1.5,213,6.7,0.443,0.14,3.5,23.4,12.7,0.1,-4.4,-0.8,-5.2,-0.2
Trey Lyles,2625000,PF,27,SAC,74,16.9,5.5,0.458,4.1,0.9,7.6,1247,14.2,0.607,0.304,13.7,7,18.1,2.6,0,-0.9,-1,0.3
Zeke Nnaji,2617800,PF,22,DEN,53,13.7,3.7,0.561,2.6,0.3,5.2,728,12.5,0.62,0.316,10.9,3.3,15.2,1.6,-2.7,-0.9,-3.7,-0.3
David Roddy,2588640,PF,21,MEM,70,18,6,0.429,2.8,0.8,6.7,1258,8.8,0.519,0.155,8.1,6.1,16.7,1.1,-3.2,-0.7,-3.9,-0.6
Isaiah Jackson,2573760,C,21,IND,63,16.5,5,0.563,4.5,0.8,7.2,1042,17.5,0.595,0.459,15,7,17.4,2.7,-1.7,0.9,-0.8,0.3
MarJon Beauchamp,2485200,SF,22,MIL,52,13.5,4.7,0.395,2.2,0.7,5.1,701,8.2,0.513,0.152,8.5,6.7,18.3,0.4,-4.1,-0.6,-4.8,-0.5
Usman Garuba,2471160,C,20,HOU,75,12.9,2.4,0.486,4.1,0.9,3,970,12.9,0.569,0.266,17.4,8.8,10.5,1.8,-2,0.6,-1.4,0.2
Raul Neto,2463490,PG,30,CLE,48,10.5,2.3,0.518,1,1.6,3.3,505,12.6,0.628,0.309,5.4,21,13.2,1.5,-1.7,1.5,-0.2,0.2
Frank Kaminsky,2463490,C,29,HOU/ATL,36,6.5,1.8,0.492,1.4,0.9,2.5,235,15.3,0.635,0.254,12.1,17.8,14.1,0.7,1.2,1.7,2.8,0.3
Montrezl Harrell,2463490,C,29,PHI,57,11.9,3.7,0.598,2.8,0.6,5.6,681,17.6,0.631,0.483,13.8,7.4,18.9,2.2,-0.9,-0.4,-1.3,0.1
Blake Wesley,2385480,SG,19,SAS,37,18.1,5.8,0.321,2.2,2.7,5,669,3.5,0.393,0.205,6.6,18.8,18.5,-1.6,-7.9,-1.8,-9.6,-1.3
Josh Christopher,2372160,SG,21,HOU,64,12.3,5.1,0.465,1.1,1.1,5.8,786,11.5,0.523,0.182,5,14.3,21.9,0,-3,-1.4,-4.3,-0.5
Isaiah Roby,2330681,PF,24,SAS,42,11.3,3.7,0.432,2.5,0.9,4.1,474,9.3,0.497,0.265,12.3,10.7,17.8,-0.1,-4,-0.6,-4.6,-0.3
Lindy Waters III,2316876,SG,25,OKC,41,13,4.3,0.393,1.8,0.7,5.2,531,11.8,0.573,0.112,7.6,7,15.5,1.1,0.5,-0.4,0.1,0.3
Immanuel Quickley,2316240,SG,23,NYK,81,28.9,11.6,0.448,4.2,3.4,14.9,2344,16.3,0.578,0.265,7.9,17.4,20.9,6.7,1.3,0.4,1.7,2.1
John Konchar,2300000,SF,26,MEM,72,20.8,4.4,0.431,4.3,1.4,5.1,1494,10.8,0.542,0.113,11,8.2,10.4,3.5,-1.9,2.4,0.5,0.9
Rodney McGruder,2298385,SG,31,DET,32,16.4,4.8,0.408,2.3,0.9,5.7,524,10.7,0.566,0.145,7.8,7.6,14,0.7,-0.8,-0.7,-1.5,0.1
Bryn Forbes,2298385,SG,29,MIN,25,10.7,3.3,0.361,0.6,0.7,3.6,268,6.2,0.497,0.181,3.1,8.2,16.2,0,-4.8,-1.5,-6.3,-0.3
Damian Jones,2298385,C,27,LAL/UTA,41,11.6,2.1,0.64,3,0.4,3.5,477,12.9,0.719,0.337,13.8,4.1,10.7,1.2,-2,0.3,-1.7,0
Quentin Grimes,2277000,SG,22,NYK,71,29.9,8.5,0.468,3.2,2.1,11.3,2121,11.7,0.619,0.163,5.9,9.7,14.4,4.8,-0.3,0.1,-0.1,1
Saben Lee,2266640,PG,23,PHI/PHO,25,14.9,4.8,0.405,1.8,2.7,6,373,13.1,0.517,0.471,6.7,24.3,19.5,0.7,-2.7,0.9,-1.8,0
Andrew Nembhard,2244111,SG,23,IND,75,27.6,8.6,0.441,2.7,4.5,9.5,2073,10,0.528,0.096,5.3,22.4,16.1,1.2,-2.4,-0.8,-3.2,-0.6
Payton Pritchard,2239200,PG,25,BOS,48,13.4,5.1,0.412,1.8,1.3,5.6,643,10.3,0.536,0.065,7.5,14,19.8,0.6,-2.1,-1.2,-3.4,-0.2
Bones Hyland,2201520,PG,22,DEN/LAC,56,19.4,10.2,0.399,2.4,3.1,11.8,1085,14.9,0.535,0.179,7.1,23.4,28,1.4,0.4,-1.2,-0.8,0.3
Bol Bol,2200000,PF,23,ORL,70,21.5,6.8,0.546,5.8,1,9.1,1505,14.4,0.603,0.226,15.2,6.9,18.2,2.3,-1.8,0.9,-0.9,0.4
Peyton Watson,2193960,SG,20,DEN,23,8.1,2.6,0.492,1.6,0.5,3.3,186,12.8,0.553,0.339,11.4,7.9,17.7,0.3,-2.7,-0.1,-2.8,0
Udoka Azubuike,2174880,C,23,UTA,36,10,2,0.819,3.3,0.3,3.5,359,16.1,0.774,0.278,17.9,4.3,11.5,1,-1.2,0.5,-0.6,0.1
Jaden McDaniels,2161440,SF,22,MIN,79,30.6,9.1,0.517,3.9,1.9,12.1,2416,12,0.611,0.201,7.1,8.4,15.8,4.4,-1.7,0.5,-1.2,0.5
Jordan McLaughlin,2160000,PG,26,MIN,43,15.8,3.4,0.421,1.4,3.4,3.7,678,11.8,0.526,0.124,5.1,27.4,11.7,1.3,-1.3,0.6,-0.7,0.2
Malachi Flynn,2145720,PG,24,TOR,53,13,4.6,0.36,1.4,1.3,4.6,691,8.7,0.479,0.136,6.2,13.7,17.4,0.5,-3.3,-0.8,-4.1,-0.4
Cam Thomas,2138160,SG,21,BRK,57,16.6,8,0.441,1.7,1.4,10.6,948,14.7,0.567,0.382,5.6,12.7,27.8,1,-0.7,-2,-2.7,-0.2
Luke Kornet,2133278,C,27,BOS,69,11.7,2.5,0.665,2.9,0.8,3.8,804,16.7,0.697,0.229,13.4,9.1,11.5,3.3,-0.4,1.3,1,0.6
Damion Lee,2133278,SG,30,PHO,74,20.4,6.1,0.442,3,1.3,8.2,1506,10.7,0.607,0.23,8.3,8.9,16.3,2.6,-1.3,-0.4,-1.7,0.1
Juan Toscano-Anderson,2133278,SF,29,LAL/UTA,52,13.5,2.8,0.448,2.4,1.3,3,700,7.2,0.505,0.168,9.5,11.8,11.3,0.5,-4.6,0.8,-3.8,-0.3
Desmond Bane,2130240,SG,24,MEM,58,31.7,16.2,0.479,5,4.4,21.5,1841,19.1,0.606,0.218,8.4,20.8,26.1,5.8,3.3,0.1,3.5,2.5
Jaden Springer,2125200,SG,20,PHI,16,5.6,2.2,0.486,0.9,0.5,2.6,89,17.2,0.545,0.229,9.3,13.8,20.8,0.3,-2.6,2.9,0.3,0.1
Day'Ron Sharpe,2109480,C,21,BRK,48,11.5,3.6,0.544,4.2,0.8,4.7,552,17.8,0.581,0.322,20.4,9.7,19,1.6,-1.8,-0.6,-2.3,0
Tony Bradley,2036318,C,25,CHI,12,2.8,1,0.5,0.9,0.1,1.6,33,21.7,0.69,0.333,18.9,4.4,19.8,0.2,4.4,0.5,4.9,0.1
Frank Ntilikina,2036318,SG,24,DAL,47,12.9,2.8,0.364,1.3,1.2,2.9,607,5.2,0.461,0.25,5.9,12.8,13.1,-0.1,-6.1,-0.7,-6.7,-0.7
Garrison Mathews,2000000,SG,26,HOU/ATL,54,12.7,3.7,0.363,1.4,0.5,4.8,686,9.7,0.573,0.264,5.8,5.1,14.7,1,-2,-0.4,-2.4,-0.1
Jaylin Williams,2000000,C,20,OKC,49,18.7,4.8,0.436,4.9,1.6,5.9,914,11.2,0.559,0.231,14.1,10.7,13.5,1.9,-2.3,0.6,-1.7,0.1
Jeremiah Robinson-Earl,2000000,PF,22,OKC,43,18.9,5.8,0.444,4.2,1,6.8,814,13,0.548,0.169,11.9,7,14.6,1.9,-0.8,-0.7,-1.5,0.1
Kenrich Williams,2000000,PF,28,OKC,53,22.8,6.5,0.517,4.9,2,8,1206,14.4,0.585,0.113,11.6,11.7,13.7,3.3,0.1,0.4,0.5,0.8
Caleb Houstan,2000000,SF,20,ORL,51,15.9,3.6,0.363,1.9,0.6,3.8,812,6.2,0.508,0.099,6.9,4.9,11,0.7,-3.1,-0.9,-4,-0.4
Shake Milton,1997718,SG,26,PHI,76,20.6,6.6,0.479,2.5,3.2,8.4,1567,12.7,0.575,0.231,7.2,22.3,18.5,2.9,-1,-0.9,-2,0
Aaron Holiday,1968175,PG,26,ATL,63,13.4,3.5,0.418,1.2,1.4,3.9,845,9.4,0.528,0.145,4.8,13,13.4,0.9,-2.9,0.9,-2,0
Yuta Watanabe,1968175,SF,28,BRK,58,16,4,0.491,2.4,0.8,5.6,928,12.1,0.637,0.203,8.5,7,13.1,2.1,-0.4,-0.2,-0.6,0.3
Edmond Sumner,1968175,SG,27,BRK,53,13.9,5.1,0.461,1.5,1.3,7.1,736,14,0.597,0.401,6,13.3,22.1,1.3,-2.4,-0.2,-2.6,-0.1
Theo Pinson,1968175,SG,27,DAL,40,8.1,2.2,0.356,1.6,1.2,2.4,323,10.1,0.512,0.149,11.4,19.6,14.7,0.5,-2.5,-0.9,-3.4,-0.1
Thomas Bryant,1968175,C,25,DEN/LAL,59,18.3,6.3,0.623,5.7,0.5,9.8,1081,19.7,0.682,0.341,17,4.3,18.2,4.1,1.1,-0.5,0.6,0.7
Josh Okogie,1968175,SG,24,PHO,72,18.8,5.8,0.391,3.5,1.5,7.3,1350,13.3,0.531,0.464,10.3,10.3,17.7,2.8,-0.8,0.5,-0.2,0.6
Drew Eubanks,1968175,C,25,POR,78,20.3,4.3,0.641,5.4,1.3,6.6,1584,16.2,0.666,0.374,15.2,9.2,12.5,4.4,-0.9,0.9,0.1,0.8
Dean Wade,1930681,PF,26,CLE,44,20.3,4,0.412,3.4,0.8,4.7,891,8.5,0.55,0.13,9.9,5.4,10.2,1.8,-2.9,2.1,-0.7,0.3
Terance Mann,1930681,SG,26,LAC,81,23.1,6.5,0.519,3.4,2.3,8.8,1872,13.4,0.619,0.225,8.3,14,15.3,4.3,-0.3,0.1,-0.2,0.8
Jaylen Nowell,1930681,SG,23,MIN,65,19.3,9.6,0.448,2.6,2,10.8,1252,13.7,0.527,0.158,7.6,15.9,25,1.2,-1.5,-1,-2.5,-0.2
Naz Reid,1930681,C,23,MIN,68,18.4,8.5,0.537,4.9,1.1,11.5,1251,18.5,0.617,0.22,14.9,9.6,24.8,3,0.3,0.8,1,1
Jalen McDaniels,1930681,SF,25,PHI/CHO,80,23.9,7.7,0.455,4.3,1.6,9.4,1913,11.8,0.557,0.224,9.9,9.6,17.2,2.7,-2.7,0.6,-2.1,-0.1
Daniel Gafford,1930681,C,24,WAS,78,20.6,5.1,0.732,5.6,1.1,9,1604,19.7,0.739,0.473,15,7.5,15.2,6.1,0.4,0.6,1,1.2
Chimezie Metu,1910860,PF,25,SAC,66,10.4,3.3,0.589,3,0.6,4.9,689,17.3,0.639,0.333,16.4,8.1,17.6,2.1,-0.3,0.2,-0.1,0.3
Davon Reed,1902133,SG,27,DEN/LAL,43,8,2,0.333,1.4,0.5,2.1,342,6.2,0.471,0.286,9.9,8.2,14.5,0.1,-5.4,0,-5.3,-0.3
KZ Okpala,1902133,PF,23,SAC,35,7.1,1.1,0.421,1,0.4,1.3,248,6.2,0.554,0.211,7.8,6.3,8.4,0.3,-4.3,1.1,-3.2,-0.1
Wenyen Gabriel,1878720,C,25,LAL,68,15.1,3.8,0.596,4.2,0.5,5.5,1024,14.4,0.626,0.323,15,4.8,14.1,2.8,-2.3,0.1,-2.2,-0.1
Thanasis Antetokounmpo,1878720,PF,30,MIL,37,5.6,1.2,0.435,1.2,0.4,1.4,206,6.7,0.458,0.478,11.1,9.3,13.8,0.1,-6.5,-1.1,-7.6,-0.3
Moritz Wagner,1878720,C,25,ORL,57,19.5,6.9,0.5,4.5,1.5,10.5,1109,17.4,0.63,0.46,13.2,11.5,21.1,3.4,0.4,0.2,0.6,0.7
Keita Bates-Diop,1878720,PF,27,SAS,67,21.7,6.9,0.508,3.7,1.5,9.7,1452,14.9,0.609,0.323,9.3,9.8,16.7,2.7,0.3,-0.9,-0.6,0.5
Oshae Brissett,1846738,PF,24,IND,65,16.7,4.9,0.386,3.4,0.7,6.1,1083,10.6,0.52,0.455,11.2,5.4,16.1,1.1,-2,-1.2,-3.2,-0.3
Nathan Knight,1836090,C,25,MIN,38,7.7,2.1,0.568,1.5,0.3,3.7,291,14.5,0.655,0.704,10.8,6.1,18.7,0.7,-2.4,-0.8,-3.2,-0.1
Justin Jackson,1836090,SF,27,BOS,23,4.7,1.2,0.259,0.7,0.4,0.9,107,6.3,0.359,0.074,8.7,10.5,12.2,0.1,-4.2,1.6,-2.6,0
Isaiah Joe,1836090,SG,23,OKC,73,19.1,7,0.441,2.4,1.2,9.5,1395,14.5,0.626,0.197,6.7,8.7,17.7,3.8,1.3,-0.4,0.9,1
Ryan Arcidiacono,1836090,PG,28,NYK/POR,20,8.6,1.9,0.243,0.8,1.2,1.3,172,2.7,0.351,0,5,16.9,11.1,-0.2,-7.3,-1.5,-8.8,-0.3
Anthony Gill,1836090,PF,30,WAS,59,10.6,2.2,0.538,1.7,0.6,3.3,624,11.1,0.604,0.508,8.8,7.2,12.3,1.3,-2.4,-0.9,-3.3,-0.2
Javonte Green,1815677,SF,29,CHI,32,15,3.4,0.565,2.8,0.7,5.2,480,14.5,0.646,0.417,10.4,6.4,13.6,1.4,-1.1,2.5,1.4,0.4
Gabe Vincent,1815677,PG,26,MIA,68,25.9,8.3,0.402,2.1,2.5,9.4,1759,9,0.533,0.138,4.8,13.9,17.5,1.4,-3.1,-0.3,-3.4,-0.6
Max Strus,1815677,SF,26,MIA,80,28.4,9.9,0.41,3.2,2.1,11.5,2272,10.8,0.557,0.113,6.7,11.2,17.6,3.4,-0.8,-0.9,-1.7,0.2
Nick Richards,1782621,C,25,CHO,65,18.7,4.8,0.629,6.4,0.6,8.2,1217,18.3,0.676,0.585,18.2,4.5,15.6,4.2,-1,-0.2,-1.3,0.2
Lamar Stevens,1782621,SF,25,CLE,62,18.1,4.6,0.448,3.3,0.5,5.3,1120,9.5,0.524,0.198,10.9,4,13.6,1.9,-3,0.2,-2.8,-0.2
Naji Marshall,1782621,SF,25,NOP,77,23.3,7.4,0.433,3.6,2.5,9.1,1792,11.4,0.539,0.306,8.8,14.4,17.8,2.5,-1.9,0,-1.9,0.1
Paul Reed,1782621,C,23,PHI,69,10.9,3,0.593,3.8,0.4,4.2,755,19.2,0.62,0.244,20.5,5.3,16.4,2.8,-1.6,1.5,-0.1,0.4
Tre Jones,1782621,PG,23,SAS,68,29.2,10.9,0.459,3.6,6.6,12.9,1984,16,0.534,0.231,6.7,31.5,19.3,3.4,-0.2,-0.8,-1,0.5
Haywood Highsmith,1752638,PF,26,MIA,54,17.9,4,0.431,3.5,0.8,4.4,969,8.5,0.517,0.13,11.4,6.2,12.5,0.9,-3.7,0.7,-3.1,-0.3
Omer Yurtseven,1752638,C,24,MIA,9,9.2,3,0.593,2.6,0.2,4.4,83,16.7,0.675,0.222,16.2,3.9,18,0.3,-2.5,-1.5,-3.9,0
Leandro Bolmaro,1709300,SF,22,UTA,14,4.9,1.4,0.15,0.5,0.5,0.4,68,-5,0.15,0,5.6,12.3,16.6,-0.3,-12.4,-2.3,-14.7,-0.2
Terry Taylor,1703902,PF,23,CHI/IND,31,8.5,2.4,0.52,1.5,0.3,2.9,264,11,0.557,0.147,9.9,5.1,14.2,0.3,-2.3,-1.8,-4.1,-0.1
Jericho Sims,1639842,C,24,NYK,52,15.6,2.1,0.776,4.7,0.5,3.4,812,13.8,0.78,0.15,16.4,4,7.4,2.6,-1,0.5,-0.5,0.3
Sam Hauser,1637966,SF,25,BOS,80,16.1,5,0.455,2.6,0.9,6.4,1290,12.7,0.634,0.043,8.6,7.6,14.7,3.4,0.6,0.4,1,1
Kessler Edwards,1637966,SF,22,BRK/SAC,36,10.7,2.6,0.387,1.7,0.6,2.8,385,8.4,0.502,0.161,9,7.5,12.7,0.4,-3.2,-0.7,-3.9,-0.2
Vit Krejci,1563518,PG,22,ATL,29,5.7,1.3,0.405,0.9,0.6,1.2,165,7.7,0.475,0.054,8.6,12.4,10.9,0.1,-4.2,0.6,-3.6,-0.1
JT Thor,1563518,PF,20,CHO,69,14,3.4,0.399,2.2,0.5,3.8,969,7,0.506,0.197,8.4,4.9,13.1,0.2,-4.3,-0.4,-4.7,-0.7
Ayo Dosunmu,1563518,SG,23,CHI,80,26.2,7.1,0.493,2.8,2.6,8.6,2098,10.2,0.567,0.144,5.9,13.2,14.9,2.9,-3,0.6,-2.5,-0.2
Isaiah Livers,1563518,PF,24,DET,52,23.1,5.5,0.417,2.8,0.8,6.7,1199,8.4,0.567,0.135,6.6,4.8,11.9,1,-2.1,-0.3,-2.4,-0.1
Daishen Nix,1563518,PG,20,HOU,57,16,4.2,0.342,1.7,2.3,4,914,5.3,0.447,0.152,5.9,19.2,15.4,-1.2,-5,-1.5,-6.5,-1
Jason Preston,1563518,PG,23,LAC,14,8.9,2.9,0.439,1.6,1.9,2.9,124,10.3,0.489,0.049,9.9,30.9,18.3,0.1,-2.1,-0.5,-2.6,0
Austin Reaves,1563518,SG,24,LAL,64,28.8,7.7,0.529,3,3.4,13,1843,14.9,0.687,0.541,5.6,15.7,16.2,5.4,0.6,0.1,0.7,1.2
Jose Alvarado,1563518,PG,24,NOP,61,21.5,8,0.411,2.3,3,9,1310,11.8,0.525,0.164,6.1,19.9,19.8,1.8,-2,0.7,-1.2,0.3
Miles McBride,1563518,PG,22,NYK,64,11.9,3.4,0.358,0.8,1.1,3.5,760,8.4,0.475,0.195,3.6,12.4,14.6,0.7,-3.6,1.4,-2.3,-0.1
Aaron Wiggins,1563518,SG,24,OKC,70,18.5,5.2,0.512,3,1.1,6.8,1297,12.2,0.607,0.196,8.7,8.3,14.5,2.6,-1.5,-0.5,-2.1,0
Jock Landale,1563518,C,27,PHO,69,14.2,4.9,0.528,4.1,1,6.6,979,16.4,0.595,0.312,15.8,10.1,19.3,2.7,-0.7,-0.4,-1.1,0.2
Trendon Watford,1563518,PF,22,POR,62,19.1,5.2,0.56,3.8,2.1,7.4,1182,13.6,0.625,0.31,11.6,16,16.1,2.1,-1.4,-0.4,-1.8,0.1
Dalano Banton,1563518,PG,23,TOR,31,9,4.2,0.423,1.5,1.2,4.6,279,14.9,0.505,0.185,9.1,19.3,24.2,0.4,-1.1,0.6,-0.5,0.1
Christian Koloko,1500000,C,22,TOR,58,13.8,2.6,0.48,2.9,0.5,3.1,802,11.4,0.517,0.393,12.1,5,10.4,1.7,-4.3,0.8,-3.5,-0.3
Bryce McGowens,1461055,SG,20,CHO,46,17.1,4.4,0.396,2,1.2,5.3,787,7.2,0.519,0.396,6.3,9.1,15,0.1,-4.6,-1.4,-6,-0.8
Jordan Goodwin,1280206,PG,24,WAS,62,17.8,5.7,0.448,3.3,2.7,6.6,1106,14.8,0.531,0.195,10.3,20.8,17.3,2.2,-0.7,1.4,0.7,0.8
Kennedy Chandler,1200000,PG,20,MEM,36,7.8,2.3,0.422,1.1,1.6,2.2,281,10.6,0.44,0.157,7.2,26.4,15.8,0.3,-3.3,0.6,-2.7,0
Noah Vonleh,1160955,C,27,BOS,23,7.4,1,0.458,2.1,0.3,1.1,171,5.9,0.502,0.083,15.3,5.1,9.2,0.2,-7,0.7,-6.3,-0.2
Sandro Mamukelashvili,1116112,C,23,SAS/MIL,43,15.3,5.3,0.422,4.3,1.4,6.1,660,13.4,0.516,0.248,15.1,12.8,18.2,0.9,-1.1,-1.3,-2.4,-0.1
Tyrese Martin,1017781,SG,23,ATL,16,4.1,1.4,0.391,0.8,0.1,1.3,66,7.7,0.44,0.087,10,3.9,16.5,0,-4.2,-3.1,-7.4,-0.1
Jaden Hardy,1017781,SG,20,DAL,48,14.8,6.9,0.438,1.9,1.4,8.8,708,14.6,0.571,0.237,7.3,14.9,26.4,0.7,-0.4,-1.9,-2.3,0
Ryan Rollins,1017781,PG,20,GSW,12,5.2,1.7,0.35,1,0.5,1.9,62,-1.4,0.508,0.3,10.6,12.4,26.1,-0.3,-11.3,-3.7,-15,-0.2
Max Christie,1017781,SG,19,LAL,41,12.5,2.6,0.415,1.8,0.5,3.1,512,7.4,0.566,0.151,7.8,5.1,10.4,0.6,-3.2,0,-3.1,-0.1
Josh Minott,1017781,SF,20,MIN,15,6.4,2.4,0.5,1.7,0.3,3.1,96,17.9,0.582,0.222,14.6,7.5,18.9,0.3,-1.9,0.4,-1.6,0
Jabari Walker,1017781,SF,20,POR,56,11.1,3.5,0.419,2.3,0.6,3.9,619,9.6,0.496,0.227,12.2,7.8,17.3,0.2,-3.9,-2.1,-6.1,-0.6
Eugene Omoruyi,1013119,SF,25,DET/OKC,40,16.1,5.7,0.443,2.8,0.7,7,645,10.9,0.533,0.329,9.4,6.3,19.3,0.6,-3.5,-0.9,-4.4,-0.4
Kris Dunn,1000001,PG,28,UTA,22,25.8,9.8,0.537,4.5,5.6,13.2,568,19.1,0.606,0.245,9.5,32.3,20.2,1.9,0.7,1.7,2.4,0.6
Admiral Schofield,877940,PF,25,ORL,37,12.2,3.3,0.451,1.7,0.8,4.2,451,10.1,0.587,0.189,7.8,9.6,14.1,0.8,-2.2,-0.7,-2.9,-0.1
Moses Brown,824041,C,23,BRK/LAC,36,8.2,2.7,0.635,3.9,0.1,4.3,294,22.2,0.607,0.75,26.5,2.1,21.2,1.1,0.6,-1.2,-0.6,0.1
Matt Ryan,806097,SF,25,LAL/MIN,34,9.1,3.2,0.37,0.8,0.5,3.6,310,8.1,0.538,0.111,4.6,6.9,16.5,0.3,-1.9,-1.5,-3.4,-0.1
PJ Dozier,784654,SF,26,SAC,16,4.9,2.1,0.303,0.9,0.6,1.4,79,5.2,0.333,0,10.1,16.3,20.6,-0.2,-8.6,0.7,-7.8,-0.1
Cody Zeller,743922,C,30,MIA,15,14.5,3.9,0.627,4.3,0.7,6.5,217,16.4,0.659,0.593,17.3,7.2,18.1,0.7,-2,-0.7,-2.8,0
Meyers Leonard,713558,C,30,MIL,9,12.7,3.2,0.483,3.8,0.1,4.8,114,12,0.652,0.31,15.5,1.2,14.4,0.3,-2.8,-2.2,-5,-0.1
Anthony Lamb,694878,SF,25,GSW,62,19.3,5.1,0.471,3.5,1.5,6.7,1195,10.9,0.61,0.191,9.9,10.5,13.8,2.4,-1.6,0.4,-1.1,0.3
Trent Forrest,508891,SG,24,ATL,23,12,2.6,0.417,1.6,1.7,2.3,277,6.1,0.424,0.05,7.3,16.5,11.6,-0.1,-5.3,0.2,-5.1,-0.2
JD Davison,508891,SG,20,BOS,12,5.5,1.6,0.421,0.8,0.9,1.6,66,10.1,0.478,0.105,7.4,22.4,15.8,0.1,-4.5,0.4,-4.2,0
Mamadi Diakite,508891,C,26,CLE,22,8,2.3,0.48,1.4,0.4,2.6,176,9,0.56,0.04,10,6.3,16,0.2,-4.9,1.6,-3.4,-0.1
Isaiah Mobley,508891,PF,23,CLE,12,7,2.3,0.429,1.7,0.3,2.6,84,14.1,0.521,0.143,14,5,16.4,0.2,-2.5,1.1,-1.4,0
Jack White,508891,SF,25,DEN,17,3.9,1.1,0.421,1,0.2,1.2,66,12.6,0.517,0.158,14.8,7.7,14.7,0.1,-2.6,0.7,-1.9,0
Buddy Boeheim,508891,SF,23,DET,10,9,2.7,0.185,0.6,0.4,1.6,90,0.5,0.287,0.074,3.7,5.8,13.2,-0.2,-7.5,-2,-9.5,-0.2
Jamal Cain,508891,PF,23,MIA,18,13.3,3.7,0.561,2.9,0.7,5.4,240,16.5,0.647,0.333,12.7,7.6,15.1,0.8,-0.5,1.3,0.8,0.2
Luka Garza,508891,C,24,MIN,28,8.7,4.1,0.543,2.3,0.6,6.5,243,23,0.652,0.448,14.5,11.8,26.9,1.1,2.2,-2.6,-0.4,0.1
Kevon Harris,508891,SG,25,ORL,34,13.4,3.1,0.439,2.1,0.5,4.1,457,9.2,0.564,0.383,8.7,4.7,13.7,0.6,-3.5,-0.1,-3.6,-0.2
Keon Ellis,508891,SG,23,SAC,16,4.4,1,0.438,0.5,0.4,1.5,71,14,0.629,0.438,6.4,10.5,12.1,0.2,-0.1,1.4,1.3,0.1
Dominick Barlow,508891,PF,19,SAS,28,14.6,3.1,0.535,3.6,0.9,3.9,408,12.4,0.567,0.291,13.7,7.6,11.3,0.7,-3.7,-0.8,-4.6,-0.3
Julian Champagnie,508891,SF,21,SAS/PHI,17,18.8,7.6,0.454,3.5,0.6,9.7,320,13.4,0.6,0.131,10.2,4.5,19.2,0.4,-0.6,-2.7,-3.3,-0.1
Jeff Dowtin,508891,PG,25,TOR,25,10.4,2.3,0.439,0.9,1.2,2.4,259,9.9,0.5,0.158,5,15.5,10.9,0.4,-2.8,0.9,-1.9,0
Johnny Juzang,508891,SG,21,UTA,18,12.9,5.8,0.337,2.2,0.4,4.8,232,6.5,0.411,0.038,9.1,4.7,19.6,-0.2,-4.3,-2.2,-6.5,-0.3
John Butler,503041,C,20,POR,19,11.6,2.8,0.321,0.9,0.6,2.4,221,5.7,0.411,0.075,4.4,6.5,11,0,-5.4,-0.8,-6.2,-0.2
Facundo Campazzo,464299,PG,31,DAL,8,6.5,1.6,0.231,0.3,1.1,1.3,52,7.8,0.36,0.154,2.2,22.6,14.7,0,-4.8,3.6,-1.2,0
Orlando Robinson,386055,C,22,MIA,31,13.7,2.9,0.528,4.1,0.8,3.7,425,13.4,0.565,0.348,17.4,8.4,12.4,1.1,-2.7,0.7,-2.1,0
Dru Smith,374357,SG,25,BRK/MIA,15,10.5,3,0.4,1.6,1.5,2.9,158,11.4,0.475,0.067,8.7,19.3,13.8,0.3,-3.8,2.9,-0.9,0
Jared Rhoden,307089,SG,23,DET,14,14.1,3.1,0.386,2.6,0.3,3.2,198,6.5,0.482,0.136,10.4,2.8,10.7,0.1,-5,-1.1,-6.1,-0.2
Jarrett Culver,260295,SF,23,ATL,10,13.7,4.3,0.395,3.8,0.6,4.4,137,9.5,0.452,0.302,15.2,5.5,17.1,0,-4.8,0.6,-4.2,-0.1
Olivier Sarr,257371,C,23,OKC,9,12.7,3.3,0.5,3.4,0.4,4,114,11.5,0.544,0.233,14.6,4.6,13.6,0.2,-4.2,-0.7,-4.9,-0.1
Quenton Jackson,219630,PG,24,WAS,9,15,4.7,0.452,0.9,1.7,6.2,135,12.2,0.542,0.524,3.3,15.1,17.9,0.2,-3.7,-1.5,-5.1,-0.1
Jordan Hall,193027,SF,21,SAS,9,9.2,3.1,0.321,1.3,1.2,3.1,83,5.5,0.438,0.321,7.9,17,19.4,-0.1,-4.7,-2.9,-7.6,-0.1
Xavier Cooks,140384,PF,27,WAS,10,12.6,2.8,0.607,3.8,0.6,3.8,126,14.3,0.586,0.357,16.8,6.4,13.9,0.2,-3.2,-0.4,-3.6,-0.1
